emoji,hexcode,group,subgroups,annotation,tags,openmoji_tags,openmoji_author,openmoji_date,skintone,skintone_combination,skintone_base_emoji,skintone_base_hexcode,unicode,order
^_^,,kaomoji,face-smiling,smiling,"kaomoji, smile",,,,,,,,,1
(≧ᗜ≦),,kaomoji,face-smiling,grinning squinting,"kaomoji, laugh, mouth, open, smile, excited",,,,,,,,,2
☆:.｡. o(≧▽≦)o .｡.:☆,,kaomoji,face-smiling,excited grinning squinting,"kaomoji, large, laugh, mouth, satisfied, smile, excited, awesome",,,,,,,,,3
(˶ᵔ ᵕ ᵔ˶),,kaomoji,face-smiling,calm happy,"kaomoji, happy, smile, blush",,,,,,,,,4
( ˶ˆᗜˆ˵ ),,kaomoji,face-smiling,grinning face smiling eyes,"kaomoji, eye, face, mouth, open, smile",,,,,,,,,5
(´ ∀ ` *),,kaomoji,face-smiling,lifes good,"kaomoji, happy, smile",,,,,,,,,6
(─‿‿─),,kaomoji,face-smiling,konata face,"kaomoji, happy, satisfied",,,,,,,,,7
(„• ᴗ •„),,kaomoji,face-smiling,happy bashful,"kaomoji, happy, smile, satisfied",,,,,,,,,8
＼(＾▽＾)／,,kaomoji,face-smiling,long time no see,"kaomoji, hello, happy, smile, mouth, open",,,,,,,,,9
o(>ω<)o,,kaomoji,face-smiling,awesome happy,"kaomoji, excited, happy, awesome",,,,,,,,,10
(✯◡✯),,kaomoji,face-smiling,star eyed,"kaomoji, awesome, happy",,,,,,,,,11
o( ˶^▾^˶ )o,,kaomoji,face-smiling,welcome,"kaomoji, happy",,,,,,,,,12
(/◕ヮ◕)/,,kaomoji,face-smiling,energetic happy,kaomoji,,,,,,,,,13
⸜(｡˃ ᵕ ˂ )⸝♡,,kaomoji,face-smiling,heart for you,"kaomoji, happy, excited, heart",,,,,,,,,14
\(^ω^\ ),,kaomoji,face-smiling,joyful,kaomoji,,,,,,,,,15
(｡•̀ᴗ-)✧,,kaomoji,face-smiling,winking,"kaomoji, wink, smile",,,,,,,,,16
( • ᴗ - ) ✧,,kaomoji,face-smiling,happy winking,"kaomoji, wink, smile",,,,,,,,,17
ദ്ദി(˵ •̀ ᴗ - ˵ ) ✧,,kaomoji,face-smiling,thumbs up and wink,"kaomoji, wink, smile, thumb, up",,,,,,,,,18
ദ്ദി(ᵔᗜᵔ),,kaomoji,face-smiling,thumbs up happy,"kaomoji, smile, grin, mouth, open, thumb, up",,,,,,,,,19
( ദ്ദി ˙ᗜ˙ ),,kaomoji,face-smiling,thumbs up nice,"kaomoji, smile, mouth, open, thumb, up",,,,,,,,,21
( ’-‘)b,,kaomoji,face-neutral-skeptical,thumbs up ,"kaomoji, thumb, up, ok",,,,,,,,,22
(*・∀・)ゞ  OK!,,kaomoji,face-smiling,okey dokey,"kaomoji, smile, ok",,,,,,,,,23
(☞ﾟヮﾟ)☞,,kaomoji,face-smiling,happy pointing,"kaomoji, exactly, agree, happy",,,,,,,,,24
(^ _ ^)/,,kaomoji,face-smiling,good morning,"kaomoji, hello, waving",,,,,,,,,25
(^o^)丿,,kaomoji,face-smiling,happy waving,"kaomoji, hello, waving",,,,,,,,,26
(￣▽￣)ノ,,kaomoji,face-smiling,hey there,"kaomoji, hello, waving",,,,,,,,,27
ᕙ(⇀‸↼‶)ᕗ,,kaomoji,face-smiling,strong,"kaomoji, strong, ready",,,,,,,,,28
ᕕ( ᐛ ) ᕗ,,kaomoji,face-smiling,happy gary,"kaomoji, smile, walk, run",,,,,,,,,29
( ~˘▾˘)~,,kaomoji,face-smiling,smooth dance,"kaomoji, smile, dance",,,,,,,,,30
( ˘ ͜ʖ ˘),,kaomoji,face-smiling,satisfied lenny,"kaomoji, smug",,,,,,,,,31
(´ ꒳` ),,kaomoji,face-smiling,smug,"kaomoji, smug",,,,,,,,,32
•̀.̫ •́✧,,kaomoji,face-smiling,just as planned,"kaomoji, smug, shing",,,,,,,,,33
<(￣︶￣)>,,kaomoji,face-smiling,told you so,"kaomoji, smug",,,,,,,,,34
( ＾◡＾)っ ♡,,kaomoji,face-affection,have a heart,"kaomoji, love",,,,,,,,,35
( >ω<)♡(>ω< ✿),,kaomoji,face-affection,cute love,"kaomoji, large, love, heart",,,,,,,,,36
( ˶˘ ³˘(⋆❛ ہ ❛⋆)!♡,,kaomoji,face-affection,surprise kiss,"kaomoji, large, love, heart",,,,,,,,,37
(ㅅ´ ˘ `)♡,,kaomoji,face-affection,love this,"kaomoji, love, heart",,,,,,,,,38
( ♡ᗜ♡),,kaomoji,face-affection,crazy love,"kaomoji, love",,,,,,,,,39
ヽ(♡‿♡)ノ,,kaomoji,face-affection,lots of love,"kaomoji, love",,,,,,,,,40
（〃・・〃）,,kaomoji,face-affection,bashful,kaomoji,,,,,,,,,41
( ◠‿◠✿),,kaomoji,face-affection,happy flower,"kaomoji, happy, smile, love, satisfied",,,,,,,,,42
✧( ु•⌄• )◞◟( •⌄• ू )✧,,kaomoji,face-affection,together,"kaomoji, large, love",,,,,,,,,43
（＾3＾）～♡,,kaomoji,face-affection,air kiss,"kaomoji, blown, thrown, kiss, love",,,,,,,,,44
ෆ(˃͈ દ ˂͈ ),,kaomoji,face-affection,kiss,"kaomoji, kissing, love",,,,,,,,,46
